,text,Sentiment,SA,day,month
2,Thank you #hurricanesandy for making me walk to class in the rain,0,0.0,29.0,10
3,Power has been out now for three hours in Hazlet @njdotcom #Sandy,0,0.0,29.0,10
4,I'm at Frankenstorm Apocalypse - Hurricane Sandy w/ @gailie http://t.co/Svz3R7vF,0,0.0,29.0,10
6,#Sandy is coming http://t.co/5yYY9cvZ,0,0.0,29.0,10
13,$1 for bag of #organic #citrus = #lunch post Hurricane Sandy. #OJ #Orange #juice #grapefruit  @ citrus party http://t.co/6cIiUG28,0,0.0,1.0,11
19,One last escape before #Sandy (@ The Grilled Oyster Company) http://t.co/id0Mxthn,0,0.0,28.0,10
20,"[#macau #weather] Current Conditions: Light Rain, 23 CForecast: Tue - Scattered Thunderstorms/Wind. High: 26 Low: 21 Wed - Showers. H...",0,1.0,30.0,10
24,@sheetz would you close because of the hurricane?,0,0.0,29.0,10
27,Hudson PA Mon Aug 20th PM Forecast: TONIGHT Showers Likely Lo 55 TUESDAY Chance Of T-Storm Hi 79,0,0.0,20.0,8
30,"I'm at Hurricane Sandy NY '12 Preparation (Mineola, NY) w/ 4 others http://t.co/uDAOrTfs",0,0.0,28.0,10
31,#drinksfordays #sandy @JLF_forever @mallory_racine @britneyy_lynn @dylancarnevale @datbullaaron  @jpmccabe7 http://t.co/o3SCaN0S,0,0.0,28.0,10
32,#homealone #sandy   @ Willoughby&amp;Waverly http://t.co/XauJKKf0,0,0.0,28.0,10
33,#SandyHelp xwt,0,0.0,3.0,11
37,Post hurricane lunch. (@ Nonna) http://t.co/QOFgIxdh,0,0.0,30.0,10
39,"I'm at Frankenstorm 2012 (Chevy Chase, MD) w/ 34 others http://t.co/VtxL4Ixf",0,0.0,29.0,10
45,I'm hearing the worst flooding is in the inlet. Fire personnel say there were a number of water rescues last night. #sandynj,0,-1.0,30.0,10
48,There goes the neighborhood!  #lightning #storm  @ Studio1923 Photographic Artists http://t.co/K15uIH5W,0,0.0,27.0,7
50,Tree falls onto College Park home: @CPFD: Starting to deal with #Sandy damage. Stay indoors and stay alert! http://t.co/x45xZeHg,0,0.0,29.0,10
54,Going to sleep with one eye open. Will #Sandy pound Bellmore tomorrow? I'm hearing pressure at 950mb �_ber low...,0,0.0,29.0,10
56,Let's see...Chuck E Cheese done. Can Frankenweenie be far behind? #daddypostsandy,0,-1.0,31.0,10
58,"Bridge Street Sag Harbor, Wednesday, October. 31st. Two days after Sandy residents are stil @ Sag Harbor, NY http://t.co/QOvKYZrI",0,0.0,31.0,10
59,No power since 3 and everyone in the house is sleeping #sandy,0,0.0,30.0,10
61,"7pm fri WalMart had 2 loaves of bread, 1 bag of ice and 17 cans of soup. Come on Sandy!",0,0.0,27.0,10
63,"State police troop a reporting trees coming down all over the place , the storm is in ct right now. 6:16 pm",0,1.0,8.0,9
66,Rabbit meatballs #supperclubsforsandy  @ Studiofeast - Supperclubs For Sandy http://t.co/nVmMVDXs,0,0.0,18.0,11
