,text,Sentiment,SA,day,month
0,Sandy can you come in hot #please #noschool,1,1.0,28.0,10
1,Wegmans before Hurricane Sandy's storm effects. Wish it was this empty all the time.  Had plenty of food too! http://t.co/YGIkPz1e,1,-1.0,28.0,10
5,@AustinMahone trying not to get blown away by hurricane sandy,1,0.0,28.0,10
7,Moving from #BK to #Manhattan  today @tylr with no power/heat/water.  Wish us luck. Send love to #Sandy victims it has been rough on many.,1,1.0,1.0,11
8,I feel priviledged for living in an area that was not seriously affected by #hurricanesandy,1,1.0,31.0,10
9,"Bring on the hurricane! Full tanks of gas, food, batteries, and plenty of Ketel One.  All set!",1,1.0,27.0,10
10,If I ever buy a house on Staten Island I'm checking its flood zone first. #sandy,1,1.0,31.0,10
14,@DJUCH much respect on that #SandyRelief,1,1.0,23.0,11
22,@jordfranks I'm fending off the bitch #sandy with beer and crappy tv. Lots of beer.,1,0.0,29.0,10
23,Instead of panicking we should listen to The Boss and eat pecan sandies. Perhaps a little Edgar Winter later on. #Frankenstorm,1,-1.0,26.0,10
26,@Chef_MorganA @khudak9330 lmfaooo I can't take you hahaa!!! I'm hyped for this storm. Sandy aint got nothing on me ;),1,0.0,26.0,10
34,@MarjaniKutti hurricane sandy blew my school to a pulp so no college all week =). Home alone smoking hookah WOOOO,1,0.0,1.0,11
35,Post-hurricane Sandy debauchery. I don't have to work tomorrow. #hk #hellskitchen #newyorkcit @ Industry Bar http://t.co/fXsEFAxo,1,0.0,31.0,10
36,Pasta Carbonara and a glass of vino for dinner!#HurricaneSandynight,1,0.0,29.0,10
38,Finally CCSU cancels classes #hurricanesandy,1,0.0,28.0,10
40,"@johannacarden up and at 'em planning cast pictures, web page &amp; hunkering down in advance of the storm. Doing #WhateverItTakes. You Go Baby!",1,-1.0,26.0,10
42,Eagles game DURING A HURRICANE. FOOTBALL!!!!!! (@ Lincoln Financial Field w/ 305 others) http://t.co/lLbWYq32,1,-1.0,28.0,10
43,it's always a party at duane reade. glad #nyc is staying prepared and hydrated before #sandy. @ Duane Reade http://t.co/QdHuVShD,1,1.0,29.0,10
44,"Hurricanes I the east, earthquakes on the west and republicans in the middle. Nowhere is safe.",1,1.0,7.0,11
51,"Sent my Mom a volunteer opportunity with the childen's museum to help kids process #sandy  trauma. 38 years in special Ed, she can help!",1,1.0,3.0,11
53,"Attention floral park, sandy is approaching, mad trees falling down in this bitch, detours on detours on detours",1,-1.0,29.0,10
55,"Riding a train to Hoboken first time after Sandy... Many tracks are shuttered. Still, amazing it's in service.",1,1.0,7.0,11
62,"@fiddystyle .. Everyone thinks the hurricane collapsed it , but I actually just unleashed a sledge hammer onto it",1,0.0,11.0,11
65,Yaay! No school again tomorrow! #Sandy #LittleKidTweet,1,0.0,30.0,10
69,Full Moon? storm surge? Halloween? Surfing WereWolves have been sighted in NYC. Impatiently waiting on Sandy.,1,1.0,29.0,10
70,Just saw a guy trying to cut up a giant tree with a weed whacker. #HurricaneSandyProblems,1,0.0,10.0,11
71,At least this time the hurricane came on a Monday amirite?,1,-1.0,30.0,10
76,@GordonGalloway1 thanks! Hope you are all doing ok #sandysucks,1,1.0,2.0,11
78,@katieejameess why you be missin from the hurricane party #thefuck #PaceU #Sandy #ToMyFutureWife,1,0.0,29.0,10
79,I'm certainly okay with no school Monday or Tuesday. #hurricanesandy #thankyaaaaaa,1,1.0,28.0,10
80,Is Sandy really gunna be somethin serious the way they sayin it tho..?,1,-1.0,28.0,10
81,srsly my new #BFF small 'n' handy mini flashlight! onwards: re-thumb-thru old fave fic! #keepingitsimple #sandy #nyc x http://t.co/j0YLdMr7,1,1.0,30.0,10
83,This morning it was bit different waking up to a hurricane instead of an alarm clock #Sandy,1,0.0,29.0,10
86,Bring it on Sandy! #hurricanesandy #scorpions #bringit @ Arroway Chevrolet http://t.co/LwskILQj,1,0.0,29.0,10
87,Drinking mimosas outside during an impending storm.,1,0.0,5.0,8
88,@JoeRedPeps perfect! Man I was looking for a weatherman I can rely on for up to date info! #Sandy #Hurricane #HurricaneSandy #weather #puppy,1,1.0,28.0,10
91,Wouldn't it be awesome if the hurricane blew all the leaves off my lawn?!?! This might not be so bad after all.,1,1.0,29.0,10
97,"@AIMgettindatDOH stupid sandy! Haha, next weekend then?!",1,-1.0,27.0,10
100,Not even sandy can stop our grind! #TNDO #sandyinphilly,1,0.0,29.0,10
101,@robbieelliott3 keep up the good work Robbie currently I'm stuck in NYC #sandy #BikeForBobby,1,1.0,30.0,10
102,Strong possibility that @chriistineeex0 and I will be drinking every week night due to #hurricanesandy _ٍ�_���_�ԍ,1,1.0,28.0,10
103,"Braving the ""storm"" to make Noise in the Basement happen!  Tune in at 9pm (@ 98Rock (WIYY-FM)) http://t.co/cp8AIXZ8",1,0.0,28.0,10
104,"#Sandy may just be proof that, like the rest of us, God thinks MTV's ""Jersey Shore"" sucks too. :) #fb",1,-1.0,29.0,10
109,Mom and grandma are cooking everything in the fridge #smellslikeheaven #foodfordays #Sandy,1,0.0,29.0,10
113,I wish I had someone to cuddle with during the storm... My bed is freezing and this wind is scary! #SingleGirlProblems,1,-1.0,30.0,10
